station,valid,tmpf
MDQ,2006-01-01 00:00,30.20
3A1,2006-01-01 00:00,37.40
ALX,2006-01-01 00:00,44.60
AUO,2006-01-01 00:15,48.20
MDQ,2006-01-01 00:20,32.00
ALX,2006-01-01 00:20,44.60
3A1,2006-01-01 00:20,37.40
AUO,2006-01-01 00:35,48.20
3A1,2006-01-01 00:40,46.40
DHN,2006-01-01 00:53,55.94
ANB,2006-01-01 00:53,39.02
HSV,2006-01-01 00:53,33.08
BHM,2006-01-01 00:53,48.02
MSL,2006-01-01 00:53,35.06
MGM,2006-01-01 00:53,51.98
TCL,2006-01-01 00:53,42.98
AUO,2006-01-01 00:55,48.20
MOB,2006-01-01 00:56,60.98
3A1,2006-01-01 01:00,46.40
MDQ,2006-01-01 01:00,32.00
ALX,2006-01-01 01:00,44.60
AUO,2006-01-01 01:15,48.20
MDQ,2006-01-01 01:20,32.00
3A1,2006-01-01 01:20,46.40
ALX,2006-01-01 01:20,44.60
AUO,2006-01-01 01:35,50.00
3A1,2006-01-01 01:40,46.40
MDQ,2006-01-01 01:40,32.00
OZR,2006-01-01 01:45,57.20
HSV,2006-01-01 01:53,33.98
DHN,2006-01-01 01:53,55.04
TCL,2006-01-01 01:53,46.04
BHM,2006-01-01 01:53,48.92
MGM,2006-01-01 01:53,53.06
MSL,2006-01-01 01:53,37.04
ANB,2006-01-01 01:53,39.02
AUO,2006-01-01 01:55,50.00
OZR,2006-01-01 01:55,57.20
MOB,2006-01-01 01:56,60.98
ALX,2006-01-01 02:00,44.60
3A1,2006-01-01 02:00,46.40
MDQ,2006-01-01 02:00,32.00
DHN,2006-01-01 02:11,55.40
AUO,2006-01-01 02:15,50.00
ALX,2006-01-01 02:20,44.60
3A1,2006-01-01 02:20,46.40
MDQ,2006-01-01 02:20,30.20
DHN,2006-01-01 02:34,55.40
AUO,2006-01-01 02:35,48.20
OZR,2006-01-01 02:40,55.40
MDQ,2006-01-01 02:40,32.00
3A1,2006-01-01 02:40,46.40
ALX,2006-01-01 02:40,44.60
DHN,2006-01-01 02:45,55.40
MSL,2006-01-01 02:53,37.04
HSV,2006-01-01 02:53,35.96
TCL,2006-01-01 02:53,44.06
MGM,2006-01-01 02:53,53.96
DHN,2006-01-01 02:53,55.94
BHM,2006-01-01 02:53,51.98
ANB,2006-01-01 02:53,39.92
AUO,2006-01-01 02:55,48.20
OZR,2006-01-01 02:55,55.40
MOB,2006-01-01 02:56,62.06
MDQ,2006-01-01 03:00,32.00
3A1,2006-01-01 03:00,46.40
ALX,2006-01-01 03:00,44.60
AUO,2006-01-01 03:15,48.20
DHN,2006-01-01 03:16,55.40
3A1,2006-01-01 03:20,46.40
MDQ,2006-01-01 03:20,32.00
ALX,2006-01-01 03:20,46.40
AUO,2006-01-01 03:35,48.20
3A1,2006-01-01 03:40,46.40
MDQ,2006-01-01 03:40,33.80
ALX,2006-01-01 03:40,46.40
DHN,2006-01-01 03:53,55.94
MGM,2006-01-01 03:53,53.96
TCL,2006-01-01 03:53,50.00
BHM,2006-01-01 03:53,48.92
MSL,2006-01-01 03:53,41.00
HSV,2006-01-01 03:53,37.04
ANB,2006-01-01 03:53,39.92
AUO,2006-01-01 03:55,51.80
OZR,2006-01-01 03:55,55.40
MOB,2006-01-01 03:56,62.96
ALX,2006-01-01 04:00,46.40
MDQ,2006-01-01 04:00,33.80
3A1,2006-01-01 04:00,44.60
AUO,2006-01-01 04:15,51.80
MDQ,2006-01-01 04:20,35.60
ALX,2006-01-01 04:20,46.40
3A1,2006-01-01 04:20,44.60
DHN,2006-01-01 04:25,55.40
AUO,2006-01-01 04:35,51.80
ALX,2006-01-01 04:40,46.40
MDQ,2006-01-01 04:40,37.40
3A1,2006-01-01 04:40,46.40
HSV,2006-01-01 04:53,37.04
BHM,2006-01-01 04:53,48.02
MGM,2006-01-01 04:53,53.06
MSL,2006-01-01 04:53,41.00
ANB,2006-01-01 04:53,42.08
DHN,2006-01-01 04:53,55.94
TCL,2006-01-01 04:53,53.06
OZR,2006-01-01 04:55,55.40
AUO,2006-01-01 04:55,51.80
MOB,2006-01-01 04:56,62.96
3A1,2006-01-01 05:00,46.40
