valid,3A1,ALX,ANB,AUO,BHM,DHN,HSV,MDQ,MGM,MOB,MSL,OZR,TCL
2006-01-01 00:00:00,40.4,44.6,39.02,48.20000000000001,48.02,55.94,33.08,31.1,51.98,60.98,35.06,,42.98
2006-01-01 01:00:00,46.4,44.6,39.02,49.4,48.92,55.04,33.98,32.0,53.06,60.98,37.04,57.2,46.04
2006-01-01 02:00:00,46.4,44.6,39.92,48.800000000000004,51.98,55.535,35.96,31.400000000000002,53.96,62.06,37.04,55.4,44.06
2006-01-01 03:00:00,46.4,45.800000000000004,39.92,49.4,48.92,55.67,37.04,32.6,53.96,62.96,41.0,55.4,50.0
2006-01-01 04:00:00,45.199999999999996,46.4,42.08,51.79999999999999,48.02,55.67,37.04,35.6,53.06,62.96,41.0,55.4,53.06
2006-01-01 05:00:00,46.4,46.4,42.98,51.8,50.0,57.14000000000001,39.92,44.0,53.06,64.04,42.08,57.2,55.04
2006-01-01 06:00:00,46.4,46.4,44.06,51.79999999999999,51.08,57.56,42.08,45.800000000000004,53.06,64.04,44.06,57.2,55.04
2006-01-01 07:00:00,46.4,48.199999999999996,46.94,52.4,53.06,59.0,46.04,48.800000000000004,53.96,66.02,50.0,59.0,55.94
2006-01-01 08:00:00,49.4,51.199999999999996,51.98,54.199999999999996,53.96,59.0,50.0,50.6,55.94,68.0,51.98,60.8,57.02
2006-01-01 09:00:00,51.79999999999999,52.4,55.94,55.4,55.04,60.98,53.06,52.7,57.92,69.98,53.96,62.6,57.92
2006-01-01 10:00:00,53.6,54.5,59.0,58.4,57.02,62.06,55.94,53.6,60.98,73.04,55.94,64.4,60.08
2006-01-01 11:00:00,59.0,59.9,60.89,60.79999999999999,59.0,64.94,57.92,56.3,62.06,73.94,62.06,66.2,62.96
2006-01-01 12:00:00,62.0,63.20000000000001,64.94,60.79999999999999,62.96,66.02,60.98,59.0,62.96,75.02,66.92,68.0,64.04
2006-01-01 13:00:00,62.6,64.4,64.94,57.2,64.94,68.0,64.04,60.199999999999996,62.96,73.94,66.02,69.54285714285716,66.02
2006-01-01 14:00:00,63.199999999999996,62.0,63.32,57.20000000000001,62.96,70.196,64.4,60.79999999999999,64.04,73.94,64.94,73.4,66.02
2006-01-01 15:00:00,62.6,60.79999999999999,62.06,57.2,62.06,69.67999999999999,64.04,61.4,64.04,71.06,64.94,72.5,64.94
2006-01-01 16:00:00,62.6,60.8,62.33,59.6,62.06,68.864,62.06,60.8,64.04,69.08,64.28,69.8,64.94
2006-01-01 17:00:00,61.7,60.8,60.85999999999999,60.8,62.06,66.2,62.96,62.6,62.06,71.06,63.62,69.8,64.94
2006-01-01 18:00:00,60.8,60.8,60.44,60.8,62.06,68.53999999999999,60.98,60.8,60.98,71.06,62.96,69.8,64.94
2006-01-01 19:00:00,60.79999999999999,60.79999999999999,60.89,60.79999999999999,62.96,66.65,62.06,60.199999999999996,59.0,69.98,62.06,65.30000000000001,66.02
2006-01-01 20:00:00,60.79999999999999,61.4,60.98,61.4,62.96,64.94,62.06,61.4,62.06,69.98,62.96,65.60000000000001,66.92
2006-01-01 21:00:00,60.79999999999999,62.6,62.78,61.4,64.04,62.465,62.96,62.6,60.08,71.06,64.04,65.67500000000001,68.0
2006-01-01 22:00:00,60.8,62.6,62.72,62.6,64.04,63.32000000000001,62.96,62.6,62.96,71.06,64.94,65.75,68.0
2006-01-01 23:00:00,62.6,64.4,63.635000000000005,62.6,64.94,63.41,64.04,62.6,64.04,71.96,66.02,65.825,69.08
2006-01-02 00:00:00,64.4,64.4,64.67,62.6,66.02,63.92000000000001,64.94,62.6,64.94,71.96,66.92,65.9,69.08
2006-01-02 01:00:00,64.4,67.1,63.32,62.6,64.94,62.96,64.94,62.6,64.94,71.96,66.02,65.97500000000001,69.98
2006-01-02 02:00:00,64.4,63.20000000000001,64.04,62.6,64.94,62.78,64.94,63.5,64.04,71.96,66.02,66.05000000000001,69.08
2006-01-02 03:00:00,66.8,63.199999999999996,64.805,62.6,66.02,62.96000000000001,66.02,63.800000000000004,64.94,71.96,66.02,66.125,69.08
2006-01-02 04:00:00,68.0,62.6,66.44,62.6,66.92,65.26400000000001,64.04,63.199999999999996,66.02,71.96,66.92,66.2,69.08
2006-01-02 05:00:00,68.0,64.4,66.11,62.6,66.92,67.39999999999999,66.02,63.199999999999996,66.02,71.96,68.0,68.9,69.08
2006-01-02 06:00:00,68.0,68.0,66.44,62.6,69.08,69.61999999999999,66.92,65.00000000000001,66.02,71.06,68.0,71.6,69.08
2006-01-02 07:00:00,68.0,68.0,67.82,62.6,69.98,70.22,68.0,65.00000000000001,69.08,71.06,68.0,68.0,69.98
2006-01-02 08:00:00,68.0,68.0,71.96,63.800000000000004,71.96,64.99142857142857,69.08,67.1,73.04,71.06,69.98,66.8,73.04
