valid,3A1,ALX,ANB,AUO,BHM,DHN,HSV,MDQ,MGM,MOB,MSL,OZR,TCL
2006-01-01 00:00:00,10.0,10.0,10.0,10.0,10.0,0.25,10.0,10.0,7.0,0.25,10.0,1.0,10.0
2006-01-01 01:00:00,10.0,10.0,10.0,10.0,10.0,0.25,10.0,5.0,7.0,0.25,10.0,1.25,8.0
2006-01-01 02:00:00,10.0,10.0,10.0,10.0,10.0,0.4375,10.0,9.0,8.0,0.25,10.0,0.5,9.0
2006-01-01 03:00:00,9.0,10.0,10.0,10.0,10.0,0.25,10.0,10.0,10.0,0.25,10.0,0.25,10.0
2006-01-01 04:00:00,10.0,10.0,10.0,10.0,10.0,0.25,10.0,10.0,2.0,0.25,10.0,0.25,10.0
2006-01-01 05:00:00,10.0,10.0,10.0,10.0,10.0,0.3333333333333333,10.0,10.0,0.5,1.75,10.0,0.25,10.0
2006-01-01 06:00:00,10.0,10.0,10.0,10.0,10.0,0.25,10.0,10.0,0.25,0.25,10.0,0.12,10.0
2006-01-01 07:00:00,10.0,10.0,10.0,10.0,10.0,0.25,10.0,10.0,0.25,0.25,10.0,0.12,9.0
2006-01-01 08:00:00,10.0,10.0,10.0,10.0,10.0,0.25,10.0,10.0,0.25,0.5,6.0,0.25,10.0
2006-01-01 09:00:00,10.0,10.0,10.0,10.0,10.0,0.25,10.0,10.0,1.0,2.0,6.0,0.25,9.0
2006-01-01 10:00:00,10.0,10.0,10.0,10.0,10.0,0.25,10.0,10.0,2.0,10.0,6.0,0.25,9.0
2006-01-01 11:00:00,8.5,10.0,10.0,10.0,10.0,0.25,10.0,10.0,3.0,10.0,7.0,0.25,9.0
2006-01-01 12:00:00,8.0,10.0,10.0,10.0,10.0,0.25,9.0,10.0,3.0,10.0,10.0,0.5,9.0
2006-01-01 13:00:00,7.0,8.0,10.0,4.0,10.0,0.5,9.0,10.0,0.75,10.0,10.0,3.5357142857142856,10.0
2006-01-01 14:00:00,7.0,4.166666666666667,10.0,3.1666666666666665,10.0,3.6,9.0,8.0,0.75,10.0,10.0,7.0,8.0
2006-01-01 15:00:00,7.0,2.1666666666666665,10.0,0.625,8.0,2.3333333333333335,8.0,8.0,0.75,9.0,9.0,7.0,7.0
2006-01-01 16:00:00,8.0,1.0625,10.0,0.25,10.0,7.4,8.0,10.0,1.0,9.0,8.333333333333334,7.0,7.0
2006-01-01 17:00:00,10.0,0.84375,10.0,0.25,8.0,9.0,10.0,10.0,2.5,10.0,7.666666666666667,7.0,8.0
2006-01-01 18:00:00,8.5,0.625,9.0,0.375,7.0,10.0,10.0,10.0,0.25,10.0,7.0,4.333333333333333,6.0
2006-01-01 19:00:00,8.0,1.5833333333333333,8.5,0.25,8.0,5.25,9.0,10.0,0.25,10.0,6.0,6.0,7.0
2006-01-01 20:00:00,5.666666666666667,1.6666666666666667,8.0,0.25,10.0,3.25,9.0,10.0,3.0,2.5,5.0,3.0,9.0
2006-01-01 21:00:00,4.0,1.8333333333333333,9.5,0.5833333333333334,10.0,3.0,8.0,10.0,0.25,8.0,5.0,3.0,10.0
2006-01-01 22:00:00,4.5,2.375,9.333333333333334,5.666666666666667,10.0,8.0,8.0,7.0,10.0,9.0,6.0,3.0,10.0
2006-01-01 23:00:00,7.0,3.8333333333333335,10.0,9.0,10.0,10.0,8.0,8.5,10.0,10.0,8.0,3.0,10.0
2006-01-02 00:00:00,7.0,6.0,10.0,9.0,6.0,7.0,8.0,7.0,10.0,10.0,9.0,3.0,10.0
2006-01-02 01:00:00,8.5,8.5,10.0,8.333333333333334,6.0,10.0,8.0,7.0,10.0,10.0,9.0,3.0,10.0
2006-01-02 02:00:00,10.0,10.0,10.0,10.0,6.0,5.0,9.0,8.5,10.0,10.0,9.0,3.0,9.0
2006-01-02 03:00:00,10.0,8.333333333333334,10.0,8.333333333333334,6.0,6.5,2.5,8.0,10.0,10.0,9.0,3.0,10.0
2006-01-02 04:00:00,7.0,7.5,10.0,8.333333333333334,10.0,7.4,7.0,7.333333333333333,4.0,10.0,9.0,3.0,9.0
2006-01-02 05:00:00,7.0,10.0,10.0,10.0,6.0,7.333333333333333,8.0,8.0,9.0,10.0,9.0,3.0,10.0
2006-01-02 06:00:00,7.0,10.0,10.0,7.5,7.0,7.75,9.0,7.0,6.0,10.0,9.0,3.0,9.0
2006-01-02 07:00:00,7.0,6.0,10.0,10.0,10.0,7.333333333333333,9.0,6.333333333333333,10.0,7.0,8.0,0.75,8.0
2006-01-02 08:00:00,10.0,6.333333333333333,10.0,6.0,10.0,1.2857142857142858,9.0,7.0,10.0,8.0,8.0,4.083333333333333,10.0
2006-01-02 09:00:00,10.0,8.5,10.0,8.333333333333334,10.0,5.65,9.0,7.0,10.0,10.0,8.0,6.333333333333333,10.0
2006-01-02 10:00:00,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,7.0,10.0
2006-01-02 11:00:00,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.5,10.0,10.0,9.0,7.0,10.0
2006-01-02 12:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-02 13:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,7.0,10.0
2006-01-02 14:00:00,10.0,10.0,10.0,10.0,10.0,8.5,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-02 15:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-02 16:00:00,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-02 17:00:00,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-02 18:00:00,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,9.0,10.0,7.0,10.0
2006-01-02 19:00:00,10.0,10.0,10.0,10.0,10.0,5.666666666666667,10.0,10.0,10.0,8.0,10.0,7.0,10.0
2006-01-02 20:00:00,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,8.0,10.0,7.0,10.0
2006-01-02 21:00:00,10.0,10.0,10.0,10.0,10.0,5.5,10.0,10.0,10.0,7.0,10.0,7.0,10.0
2006-01-02 22:00:00,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,6.0,10.0,7.0,10.0
2006-01-02 23:00:00,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,4.0,10.0,5.0,10.0
2006-01-03 00:00:00,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,7.0,10.0,5.0,10.0
2006-01-03 01:00:00,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,8.0,10.0,5.0,10.0
2006-01-03 02:00:00,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-03 03:00:00,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,7.0,10.0
2006-01-03 04:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,8.0,7.0,10.0
2006-01-03 05:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,9.0,7.0,10.0
2006-01-03 06:00:00,8.5,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,8.0,7.0,10.0
2006-01-03 07:00:00,7.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,7.0,7.0,10.0
2006-01-03 08:00:00,7.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,8.0,7.0,10.0
2006-01-03 09:00:00,7.0,10.0,10.0,10.0,10.0,10.0,10.0,8.5,10.0,10.0,7.0,7.0,10.0
2006-01-03 10:00:00,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,7.0,10.0
2006-01-03 11:00:00,8.5,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,7.0,10.0
2006-01-03 12:00:00,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-03 13:00:00,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-03 14:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-03 15:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-03 16:00:00,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-03 17:00:00,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-03 18:00:00,7.0,10.0,9.0,10.0,10.0,10.0,10.0,6.666666666666667,10.0,10.0,10.0,7.0,10.0
2006-01-03 19:00:00,6.0,10.0,7.0,10.0,10.0,10.0,10.0,5.333333333333333,10.0,10.0,9.0,7.0,10.0
2006-01-03 20:00:00,5.666666666666667,9.0,8.0,10.0,10.0,10.0,8.0,2.25,10.0,10.0,7.0,7.0,8.0
2006-01-03 21:00:00,6.0,8.5,4.0,10.0,9.0,10.0,8.0,2.75,10.0,10.0,5.0,7.0,9.0
2006-01-03 22:00:00,7.0,7.0,4.0,10.0,9.0,10.0,7.0,2.6666666666666665,8.0,10.0,3.0,7.0,7.0
2006-01-03 23:00:00,7.0,7.0,6.0,10.0,7.0,10.0,5.0,5.0,5.0,10.0,6.0,7.0,7.0
2006-01-04 00:00:00,7.0,7.0,3.5833333333333335,10.0,7.0,10.0,8.0,4.666666666666667,7.0,10.0,6.0,7.0,8.0
2006-01-04 01:00:00,5.0,7.0,5.0,10.0,7.0,10.0,7.0,4.916666666666667,6.0,10.0,5.0,6.0,7.0
2006-01-04 02:00:00,4.0,4.0,4.5,10.0,6.0,7.0,6.0,3.0,3.0,8.0,5.0,5.0,9.0
2006-01-04 03:00:00,4.0,5.0,5.0,9.666666666666666,6.0,6.0,5.0,3.1666666666666665,3.0,7.0,4.0,5.0,8.0
2006-01-04 04:00:00,6.333333333333333,7.0,4.0,9.666666666666666,6.0,7.0,6.0,4.0,0.5,9.0,4.0,5.0,7.0
2006-01-04 05:00:00,4.0,4.833333333333333,6.0,9.0,7.0,5.0,4.0,3.1666666666666665,4.0,10.0,4.0,4.0,6.0
2006-01-04 06:00:00,5.0,0.75,6.0,3.5,5.0,6.0,3.0,3.75,0.5,10.0,5.0,5.0,7.0
2006-01-04 07:00:00,4.0,3.5,6.0,9.0,6.0,7.0,3.0,4.0,3.0,9.0,5.0,5.0,4.0
2006-01-04 08:00:00,5.0,5.666666666666667,7.0,10.0,9.0,10.0,7.0,4.666666666666667,7.0,10.0,9.0,7.0,8.0
2006-01-04 09:00:00,8.0,7.333333333333333,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 10:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 11:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 12:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 13:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 14:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 15:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 16:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 17:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 18:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 19:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 20:00:00,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,7.0,10.0
2006-01-04 21:00:00,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 22:00:00,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-04 23:00:00,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,9.0,10.0,7.0,10.0
2006-01-05 00:00:00,10.0,10.0,10.0,10.0,10.0,6.0,10.0,9.0,10.0,4.0,10.0,7.0,10.0
2006-01-05 01:00:00,10.0,10.0,10.0,10.0,10.0,3.0,8.0,7.0,10.0,6.0,9.0,5.5,10.0
2006-01-05 02:00:00,10.0,10.0,10.0,10.0,10.0,2.5,7.0,7.0,10.0,6.0,8.0,4.0,10.0
2006-01-05 03:00:00,10.0,10.0,9.0,10.0,10.0,2.6666666666666665,7.0,7.0,10.0,2.0,9.0,3.0,10.0
2006-01-05 04:00:00,7.0,8.5,9.0,10.0,10.0,3.125,7.0,7.0,10.0,6.0,9.0,3.0,10.0
2006-01-05 05:00:00,7.0,5.0,10.0,10.0,10.0,4.0,8.0,7.0,10.0,9.0,10.0,3.5,10.0
2006-01-05 06:00:00,7.0,9.0,9.0,10.0,7.0,3.0,8.0,7.0,10.0,10.0,10.0,4.0,10.0
2006-01-05 07:00:00,5.666666666666667,9.0,8.0,10.0,6.0,6.0,8.0,10.0,10.0,10.0,7.0,4.0,8.0
2006-01-05 08:00:00,8.0,10.0,7.0,10.0,7.0,9.0,10.0,10.0,10.0,10.0,7.0,7.0,6.0
2006-01-05 09:00:00,10.0,10.0,8.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0
2006-01-05 10:00:00,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 11:00:00,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 12:00:00,10.0,8.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 13:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 14:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 15:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 16:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 17:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 18:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 19:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 20:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 21:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 22:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-05 23:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0,10.0
2006-01-06 00:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,7.0,10.0
2006-01-06 01:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 02:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 03:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 04:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 05:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,9.0
2006-01-06 06:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 07:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 08:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 09:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 10:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 11:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 12:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 13:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 14:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 15:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 16:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 17:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 18:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 19:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 20:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 21:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 22:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-06 23:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-07 00:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-07 01:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-07 02:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-07 03:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-07 04:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-07 05:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-07 06:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,9.0
2006-01-07 07:00:00,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,7.0,9.0
2006-01-07 08:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
2006-01-07 09:00:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0
